SERIALNO,SPORDER,PUMA,STATE,PWGTP,HISP,RAC1P
2019HU0028260,1,07510,6,7,1,1
2019HU0029247,1,07513,6,12,1,1
2019HU0029385,1,07511,6,13,1,1
2019HU0029385,2,07511,6,7,1,1
2019HU0029385,3,07511,6,16,1,1
2019HU0029385,4,07511,6,16,1,1
2019HU0029404,1,07509,6,18,1,1
2019HU0029559,1,07507,6,8,1,1
2019HU0029559,2,07507,6,7,1,1
2019HU0029559,3,07507,6,7,1,1
2019HU0029559,4,07507,6,6,1,1
2019HU0029779,1,07513,6,64,1,6
2019HU0029779,2,07513,6,66,1,1
2019HU0029779,3,07513,6,120,1,9
2019HU0030081,1,07508,6,21,1,1
2019HU0030319,1,07508,6,37,1,6
2019HU0031373,1,07509,6,56,1,1
2019HU0031373,2,07509,6,49,1,9
2019HU0032138,1,07509,6,16,1,1
2019HU0032138,2,07509,6,15,1,1
2019HU0032345,1,07509,6,9,1,1
2019HU0032345,2,07509,6,10,1,1
2019HU0032567,1,07514,6,41,1,1
2019HU0032567,2,07514,6,38,4,1
2019HU0032567,3,07514,6,30,4,1
2019HU0032567,4,07514,6,50,4,1
2019HU0032567,5,07514,6,45,4,1
2019HU0032680,1,07507,6,13,1,6
2019HU0032680,2,07507,6,12,1,6
2019HU0032680,3,07507,6,18,1,6
2019HU0032753,1,07514,6,33,19,1
2019HU0033334,1,07511,6,10,1,2
2019HU0034163,1,07512,6,64,1,1
2019HU0034163,2,07512,6,64,1,1
2019HU0034363,1,07507,6,21,7,8
2019HU0034363,2,07507,6,11,7,8
2019HU0034363,3,07507,6,22,7,8
2019HU0034363,4,07507,6,18,7,8
2019HU0034432,1,07511,6,19,1,6
2019HU0034432,2,07511,6,17,2,8
2019HU0034561,1,07514,6,21,1,1
2019HU0034966,1,07511,6,12,1,1
2019HU0035100,1,07512,6,64,1,6
2019HU0035100,2,07512,6,96,1,6
2019HU0035301,1,07514,6,22,1,1
2019HU0035301,2,07514,6,31,1,1
2019HU0035301,3,07514,6,16,1,1
2019HU0035301,4,07514,6,15,1,6
2019HU0035528,1,07509,6,14,1,1
2019HU0035731,1,07514,6,13,1,1
2019HU0035731,2,07514,6,16,1,6
2019HU0035769,1,07508,6,23,1,1
2019HU0035769,2,07508,6,28,1,1
2019HU0035929,1,07511,6,14,1,1
2019HU0035929,2,07511,6,18,1,1
2019HU0036041,1,07510,6,22,1,1
2019HU0036220,1,07514,6,14,1,1
2019HU0036652,1,07509,6,18,1,6
2019HU0036652,2,07509,6,11,1,6
2019HU0036652,3,07509,6,14,1,6
2019HU0037302,1,07510,6,30,1,1
2019HU0037302,2,07510,6,22,1,1
2019HU0037302,3,07510,6,17,1,1
2019HU0037446,1,07514,6,16,1,1
2019HU0039189,1,07511,6,10,1,1
2019HU0039276,1,07511,6,19,1,6
2019HU0039276,2,07511,6,15,1,6
2019HU0039389,1,07508,6,25,1,1
2019HU0039389,2,07508,6,22,1,1
2019HU0039389,3,07508,6,22,1,1
2019HU0039389,4,07508,6,18,1,1
2019HU0039436,1,07508,6,62,1,1
2019HU0039436,2,07508,6,69,1,1
2019HU0039526,1,07514,6,20,1,6
2019HU0039526,2,07514,6,29,1,6
2019HU0039526,3,07514,6,41,1,6
2019HU0039789,1,07514,6,106,1,2
2019HU0039789,2,07514,6,113,1,2
2019HU0040071,1,07507,6,18,1,6
2019HU0040071,2,07507,6,17,1,6
2019HU0040071,3,07507,6,19,1,6
2019HU0040071,4,07507,6,19,1,6
2019HU0041122,1,07511,6,14,1,1
2019HU0041592,1,07512,6,16,1,6
2019HU0041592,2,07512,6,18,1,6
2019HU0041699,1,07507,6,14,1,2
2019HU0041699,2,07507,6,20,1,2
2019HU0041699,3,07507,6,13,1,2
2019HU0041840,1,07513,6,10,1,1
2019HU0042877,1,07511,6,8,1,6
2019HU0042877,2,07511,6,13,1,6
2019HU0042877,3,07511,6,13,1,6
2019HU0042877,4,07511,6,13,1,6
2019HU0043417,1,07511,6,21,1,6
2019HU0043417,2,07511,6,21,1,1
2019HU0043501,1,07508,6,25,1,1
2019HU0043501,2,07508,6,22,1,1
2019HU0043501,3,07508,6,21,1,1
2019HU0043501,4,07508,6,18,1,1
2019HU0043772,1,07507,6,52,1,6
2019HU0043772,2,07507,6,61,1,6
2019HU0044455,1,07511,6,11,1,1
2019HU0044455,2,07511,6,9,1,1
2019HU0044669,1,07508,6,17,1,1
2019HU0044782,1,07511,6,21,1,1
2019HU0044782,2,07511,6,19,1,1
2019HU0044782,3,07511,6,20,1,1
2019HU0044782,4,07511,6,25,1,1
2019HU0044875,1,07513,6,19,1,6
2019HU0045247,1,07509,6,10,1,1
2019HU0045247,2,07509,6,7,1,1
2019HU0046240,1,07513,6,26,1,6
2019HU0046240,2,07513,6,26,1,6
2019HU0046284,1,07514,6,16,1,6
2019HU0046450,1,07507,6,12,1,1
2019HU0046755,1,07513,6,6,1,1
2019HU0046856,1,07514,6,36,1,2
